Date,Close,ema_5,ema_9,ema_20,ema_50,ema_100,ema_200,price_vs_ema9,price_vs_ema20,price_vs_ema50,price_vs_ema200,ema9_vs_21,ema20_vs_50,ema50_vs_200,hh_10,ll_10,adx,plus_di,minus_di,di_diff,rsi_7,rsi_14,rsi_21,macd,macd_signal,macd_hist,macd_cross,roc_5,roc_10,roc_20,roc_60,stoch_k_14,stoch_d_14,stoch_k_21,stoch_d_21,williams_r,cci,atr_7,atr_pct_7,atr_14,atr_pct_14,atr_21,atr_pct_21,hv_10,hv_20,hv_60,bb_upper_20,bb_lower_20,bb_width_20,bb_pct_20,bb_position_20,kc_upper,kc_lower,kc_pct,vol_regime,volume_ratio_5,volume_ratio_10,volume_ratio_20,obv,obv_trend,vwap_dev,vpt,force_index,ad,body_size,upper_wick,lower_wick,is_bullish,gap_pct,gap_up,gap_down,inside_bar,outside_bar,doji,return_1d,return_2d,return_3d,return_5d,return_10d,return_20d,dist_from_high_20,dist_from_low_20,dist_from_high_52,dist_from_low_52,day_of_week,week_of_year,month,quarter,year,is_monday,is_friday,is_month_start,is_month_end,results_season,iv_proxy_5d,iv_proxy_10d,iv_proxy_20d,iv_percentile,iv_regime,vol_of_vol,iv_zscore,trend_regime,momentum_regime,regime_score
2014-02-07,75.04669189453125,73.02870054404173,71.98968760436534,71.137977742019,70.83870776200828,70.78089925371596,70.76122549233669,4.246447500878636,5.494553368788679,5.940232770281795,6.056235420426215,1.1972646529748943,0.42246674094643666,0.10949820206263006,1,0,46.8803910138402,27.410366204510407,39.95180716061747,-12.541440956107063,96.54834281231614,69.17550095376745,60.803925234076246,0.5906129659115607,0.06386868880998992,0.5267442771015707,0,7.512820849127122,6.713608335979515,6.794825263002013,,98.91977635939715,97.28407832733251,98.91977635939715,97.28407832733251,-1.0802236406028536,259.82807366601065,2.064165678143129,2.750508551454947,1.742593399333438,2.322012277080028,1.5691907887380714,2.090952644446171,23.824634424012974,20.412296122380052,,74.08054620124958,67.24762762687541,9.669577394644534,1.2827915136893524,1,74.62316454068588,67.65279094335213,1.1215221387867573,3.0,1.4314804290737442,1.9159980849354192,2.168921401672269,24294017.0,-273.4510431613956,5.637849362601171,640678.758819293,18805558.063911438,10054939.232052613,1.6828721401325166,0.11219147600883828,0.7105437321812069,1,0.07484207153061012,0,0,0,0,0,1.7589737080340173,2.68124170508659,4.4162800535216595,7.512820849127122,6.713608335979515,6.794825263002013,-0.11021308108996397,11.23931407383248,,,4,6,2,1,2014,0,1,0,0,1,21.379424318603807,23.824634424012974,20.412296122380052,,high,,,3,2.0,5.0
2014-02-10,74.63269805908203,73.56337056492096,72.51910893513744,71.49013842152507,71.05541632644564,70.95420324038146,70.91424997911004,2.914527157021518,4.395794590615543,5.034495493209845,5.243583738201241,1.4393181162208446,0.6118071183795815,0.1990662629544504,1,0,43.02330329384823,28.444367884160123,37.232660219742236,-8.788292335582113,91.04492852280463,70.21041366202036,63.85298990519824,0.7606103389690304,0.20343298412833447,0.557177354840696,0,7.301592699032544,7.805535032902866,5.125648823788587,,90.26830806294515,94.99382928982872,90.26830806294515,94.99382928982872,-9.731691937054848,205.04484231886798,2.018805837058559,2.704988416016257,1.7485630940152643,2.342891439662327,1.58208375183524,2.119826554552273,21.63115576846844,20.473450477449926,,74.69644522092361,66.99561791994554,10.869807567586827,0.9834440744221148,0,74.98726460955561,67.99301223349454,0.8986120227267943,3.0,1.0656475902201958,1.4990738191932749,1.7773598875640557,11523058.0,-190.32958995119216,4.58744613510441,570227.9745767972,-5287098.298774719,11989885.778872157,0.03699367239524888,1.035890568639009,1.368847168510691,1,-0.5884243398023822,0,1,0,0,1,-0.5516483471796896,1.1976220114666258,2.11480233235688,7.301592699032544,7.805535032902866,5.125648823788587,-1.0248946356063824,10.625664236330154,,,0,7,2,1,2014,1,0,0,0,1,22.449133530047135,21.63115576846844,20.473450477449926,,high,,,3,2.0,5.0
2014-02-11,72.94905090332031,73.35859627647004,72.60520390918957,71.6363433814038,71.16167626182563,71.0417519807218,70.99236747154869,0.4735845030623631,1.8324602568383863,2.511709582161026,2.756188448787533,1.3524706623108784,0.6670263328701243,0.23848872253033893,0,0,39.90581367578697,26.493524499510873,40.60266315779196,-14.109138658281086,70.07052603506641,58.15482986134556,55.853522830470354,0.7622095822255801,0.3153268216093506,0.4468827606162295,0,1.4977254355800218,6.152568912288925,3.9284333874338717,,69.06727397974,86.08511946736076,69.06727397974,86.08511946736076,-30.932726020260006,104.43774053687656,2.152866441451983,2.9511918452581187,1.8484874509278109,2.533943112402681,1.6410600924292411,2.249597591892107,25.57033505455847,21.831034704843585,,74.93188780249952,67.03591844139697,11.12360551312246,0.49775972816025904,0,75.33331828325943,67.93936847954818,0.3550761248764824,3.0,0.41867572751341325,0.5086737491357899,0.5973019973419041,7199426.0,-162.2769138240716,2.1235386325221657,472690.68986550835,-7279470.719360352,11571469.77887214,1.6741071428571512,0.2232142857142817,1.562499999999991,0,-0.5917095899333861,0,1,0,0,0,-2.2559108802804873,-2.7951145323752757,-1.0853061540751718,1.4977254355800218,6.152568912288925,3.9284333874338717,-3.2576848062908184,8.130047840440218,,,1,7,2,1,2014,0,0,0,0,1,27.132323415090866,25.57033505455847,21.831034704843585,,high,,,3,1.0,4.0
2014-02-12,72.17623901367188,72.96447581862022,72.51932588060598,71.69018109219653,71.21766164317012,71.09037069899478,71.03656029875374,-0.4730971541281992,0.6779978988339597,1.3459826514729212,1.604355151945791,1.1565667372818167,0.6634863292674931,0.25494103832552906,0,0,37.24405751455721,26.15361501808576,39.571756410388545,-13.418141392302786,65.67678323158383,58.42100481285619,55.951926605840455,0.6981062757656815,0.3919586048828536,0.3061476708828279,0,-1.2462021118481603,5.603268468156708,2.049889895142032,,59.335774623552126,72.89045222207909,59.335774623552126,72.89045222207909,-40.664225376447874,64.05062989745561,2.239610995720978,3.102975475484034,1.8725116024812851,2.5943601773522547,1.6558028637408977,2.294110757734619,26.340271646043924,22.165937371783272,,75.03757431619805,67.07521331197579,11.205692516644028,0.28128470914371534,0,75.43520429715909,67.94515788723396,0.1297876928589573,3.0,0.7563347359900182,0.8434641630082675,1.01547372804385,-185998.0,-98.31953838704831,0.9261695993120088,394450.556421426,-5707543.477294922,8406311.72021098,1.0968184039006168,0.22692890085123607,0.5295030770930046,0,0.03784772035320054,0,0,1,0,0,-1.0593858043097093,-3.291397884966629,-3.824889290114797,-1.2462021118481603,5.603268468156708,2.049889895142032,-4.282559160213526,6.984533463425299,,,2,7,2,1,2014,0,0,0,0,1,25.27784603707257,26.340271646043924,22.165937371783272,,high,,,2,1.0,3.0
2014-02-13,71.81742095947266,72.58212331268008,72.37883358691654,71.70281269342642,71.25023732497822,71.1208265092711,71.06493231101483,-0.7756585725710918,0.15983789441602614,0.796044554781572,1.0588747839293866,0.9428094493036498,0.6351913838321233,0.26075450709275305,0,0,34.87035268521517,25.833211551926897,39.717454991296094,-13.884243439369197,49.5691658068252,56.01412846000277,53.30683224068357,0.6135310066910193,0.43630822263171126,0.17722278405930808,0,-2.619730907468054,4.750420164420244,0.8562101027070668,,54.817420661610925,61.07348975496768,54.817420661610925,61.07348975496768,-45.182579338389075,43.25714253982431,1.9675455918870068,2.739649468890444,1.8957359393645146,2.639660285816026,1.6623718842146562,2.3147195513366468,26.860942593737253,22.158601353475042,,75.08224958326278,67.09150682542864,11.240812593941788,0.18284727146565213,0,75.49428457215545,67.9113408146974,0.03022790876788764,3.0,0.8762327205719529,0.9343281355748793,1.1233215855423646,-8467901.0,-25.09315928500053,0.3739224326462532,353277.77767683443,-2971696.3195266724,4265360.220210922,0.8384192667142508,0.1905441239858459,0.3429877969000257,0,0.34416327446949285,0,0,0,0,0,-0.4971415234468646,-1.5512606810298424,-3.772176502825475,-2.619730907468054,4.750420164420244,0.8562101027070668,-4.758410303808793,6.452668923912705,,,3,7,2,1,2014,0,0,0,0,1,23.140279008147953,26.860942593737253,22.158601353475042,,high,,,2,0.0,2.0
2014-02-14,73.00424194335938,72.72282974032797,72.50399458841444,71.83149135972711,71.34408832076402,71.19801698921614,71.13358441659081,0.6899583364815998,1.6326412850865335,2.3269673236712807,2.6297810550543144,0.9362233972276535,0.68317228579855,0.29592759299237326,0,0,31.669694064237458,28.304531291163464,35.90358874077547,-7.599057449612005,49.35058874210224,65.10648430821834,55.221923777015306,0.6282236385935107,0.4747156494228837,0.15350798917062702,0,-2.721572263361438,4.586781737339818,3.730456387201775,,69.76225755569378,61.305150946952274,69.76225755569378,61.305150946952274,-30.237742444306214,65.21886454509271,1.7822253369192234,2.4412627122434474,1.9322044807218586,2.64670165635165,1.698144063321185,2.326089577970958,26.65088661639439,22.363276248853506,,75.28740544969685,67.14889597242228,11.427577655439915,0.43892342628270525,0,75.69590032117083,67.9670823982834,0.3034747603923714,3.0,0.3808686498310972,0.3137535460692864,0.39000109274819006,-5766530.0,-46.72768997356367,1.8985023560306096,397919.3666566482,3206043.7880630493,5886188.90803047,0.6468820789633224,0.4946704324521974,1.331813585812634,1,0.9992072829115921,1,0,0,1,0,1.652553054719763,1.1471960038409001,0.0756569679188912,-2.721572263361438,4.586781737339818,3.730456387201775,-3.184492503920719,8.211855756045544,,,4,7,2,1,2014,0,1,0,0,1,22.48267855752495,26.65088661639439,22.363276248853506,,high,,,3,1.0,4.0
2014-02-17,73.88745880126953,73.1110398272201,72.78082780210126,72.03403828190251,71.47825825340715,71.3059555139103,71.22865284850288,1.5204979561064036,2.572978779995272,3.3705361696436453,3.732775851344128,1.0367175546596608,0.777551163215251,0.3504283668471997,0,0,29.504994415078823,29.53183478648184,40.87613640938684,-11.344301622904997,51.04600623162492,70.07100884246518,60.16658693531857,0.6982286599927363,0.5194409299483356,0.17878773004440074,0,-0.9985425653813884,6.230140622600522,4.786308824636865,,80.88401227926171,68.48789683218881,80.88401227926171,68.48789683218881,-19.115987720738296,95.47858696261927,1.6797067023107997,2.2733312656327804,1.8639951424006012,2.522749019443302,1.6845040418590171,2.2798240312875317,26.463674693258877,22.652773182093807,,75.60994829444569,67.16384778709728,11.83144349895209,0.5921219522127324,0,75.76202856670372,68.3060479971013,0.49716345209463314,3.0,0.2971090822296352,0.17057194924914382,0.20895144280623856,-4332923.0,-58.37848894458075,3.074840928626243,415263.37073521095,1266185.8700180054,6731644.959290616,1.1715774363130762,0.3023454661812633,0.0,1,0.037795565139470536,0,0,0,0,0,1.209815805765646,2.882361708540082,2.3708907681841307,-0.9985425653813884,6.230140622600522,4.786308824636865,-2.013203191800926,9.521019890694507,,,0,8,2,1,2014,1,0,0,0,1,25.686113146548113,26.463674693258877,22.652773182093807,,high,,,3,1.0,4.0
2014-02-18,73.88745880126953,73.36984632964159,73.00224381894184,72.21603429514548,71.60365286345707,71.40749744492692,71.31823811605489,1.2125859919089432,2.3144783875738373,3.189510376191995,3.602473579105814,1.0886910801320537,0.855237696959632,0.40019882002375606,0,0,26.366532021269883,31.222241978857525,41.930408828890016,-10.708166850032491,39.062412268514855,72.1701367477743,59.8554964163735,0.7449285985988467,0.5645567648352936,0.18037183376355315,0,1.2863880836405883,2.8033800807495624,5.6678637061787995,,80.88401227926171,77.17676070473907,80.88401227926171,77.17676070473907,-19.115987720738296,91.415801180941,1.5377595108371054,2.0812185664323914,1.800962594490117,2.437440160628684,1.674315436501327,2.266034674442693,21.762139791869956,22.317326059498534,,75.8902655999218,67.27985158757821,12.028227931205969,0.5347943093604751,0,75.81795948412571,68.61410910616524,0.46403643008400824,3.0,0.46482866422321145,0.2762646740099007,0.31622076224899126,-4332923.0,-54.15815000927036,2.838649011223765,415263.37073521095,0.0,6928048.293252042,0.18712117572895834,0.523954368089806,0.44910178614857976,1,-0.1867716863535248,0,0,0,0,0,0.0,1.209815805765646,2.882361708540082,1.2863880836405883,2.8033800807495624,5.6678637061787995,-2.013203191800926,9.521019890694507,,,1,8,2,1,2014,0,0,0,0,1,18.139689483685245,21.762139791869956,22.317326059498534,,high,,,3,2.0,5.0
2014-02-19,73.0594482421875,73.26638025311921,73.01368841757557,72.29860891008336,71.67846440564693,71.47123109554616,71.37554541759448,0.06267293928534645,1.0523568068237399,1.9266370282784218,2.3592153513378733,0.989063992063155,0.865175488312464,0.4244016438405884,0,0,23.28552199506451,32.30083794554113,43.11684890795958,-10.816010962418446,36.23175052112753,67.15799666782473,59.02896699373676,0.7106145062063689,0.5937777958762385,0.11683671033013043,0,1.2236841938360499,-0.03776749627805165,2.987183343691857,,67.55720033223936,76.44174163025426,70.45743327529588,77.40848594460643,-32.44279966776063,66.43834026882607,1.4628431538960922,2.002264168553338,1.7408244954773255,2.3827506740902304,1.6533231139755404,2.26298330161881,21.250863513272897,22.400978011330203,,76.03355684815209,67.34847211302956,12.114607106688192,0.31512271977329714,0,75.78025790103801,68.8169599191287,0.21852844272378016,3.0,0.4232750090986414,0.20680225652724102,0.2148424048596333,-5668997.0,-35.773784295035796,1.590679915939899,400290.8246812119,-1106283.3797149658,5933099.126856124,1.5252998897007577,0.0,0.22321428571427668,0,0.4109303258048264,0,0,0,0,0,-1.1206374837021804,-1.1206374837021804,0.0756206726603148,1.2236841938360499,-0.03776749627805165,2.987183343691857,-3.1112799659126953,8.293686289266464,,,2,8,2,1,2014,0,0,0,0,1,18.423601153617255,21.250863513272897,22.400978011330203,,high,,,3,1.0,4.0
2014-02-20,72.36942291259766,72.96739438168669,72.88480185571548,72.30552352743906,71.71354487963492,71.50524534219936,71.40752200337384,-0.7071144189128464,0.08837414078655126,0.9145804102468569,1.3470582401366116,0.8011536325528201,0.8254767614649827,0.4285583194535425,0,0,20.918086902995793,31.381671130750476,44.96498805431868,-13.583316923568205,43.85948747294385,60.21981199762096,54.19436953014928,0.6234748962495047,0.5997187583129217,0.023756137936583044,0,0.7686184574025479,-1.8712481853545793,3.220615122983017,,52.17382542090975,66.87167934413695,61.76840928303871,71.03661827919876,-47.82617457909025,32.22938155923074,1.2144359113457455,1.6781063914416587,1.6836511763988642,2.326467600041873,1.637136937733789,2.2621942691335257,21.08150384074106,22.238741621271547,,76.0905921992158,67.51723861133108,11.939952772067203,0.13192212394537156,0,75.67282588023679,68.93822117464134,0.01897643230804664,3.0,1.1365856105774297,0.38736126522867403,0.36225923631253204,-7875635.0,-2.4543141516961686,0.5258010249404578,379449.7678450306,-1522636.1132354736,4829775.076254862,0.6818181818181729,0.45454545454544865,0.37878556685014253,0,-0.2644559656128552,0,0,0,0,0,-0.9444710385745791,-2.0545244257957784,-2.0545244257957784,0.7686184574025479,-1.8712481853545793,3.220615122983017,-4.026365866280254,7.270883785659535,,,3,8,2,1,2014,0,0,0,0,1,19.787997475803362,21.08150384074106,22.238741621271547,,high,,,2,1.0,3.0
